"","ID","sample","Age","domain","propImmediate"
"987",2045,"Replication",76,"Health",1
"988",2046,"Replication",50,"Health",0.142857142857143
"989",2047,"Replication",78,"Health",0.976190476190476
"990",2048,"Replication",32,"Health",0.928571428571429
"991",2049,"Replication",69,"Health",0.80952380952381
"992",2050,"Replication",44,"Health",1
"993",2051,"Replication",72,"Health",0.571428571428571
"994",2052,"Replication",66,"Health",0.0476190476190476
"995",2053,"Replication",18,"Health",0.571428571428571
"996",2054,"Replication",27,"Health",0.904761904761905
"997",2055,"Replication",37,"Health",1
"998",2056,"Replication",44,"Health",0.69047619047619
"999",2057,"Replication",38,"Health",0.952380952380952
"1000",2058,"Replication",21,"Health",0.0238095238095238
"1001",2059,"Replication",67,"Health",0.714285714285714
"1002",2060,"Replication",76,"Health",1
"1003",2061,"Replication",54,"Health",1
"1004",2062,"Replication",80,"Health",1
"1005",2063,"Replication",76,"Health",0.976190476190476
"1006",2064,"Replication",65,"Health",0.952380952380952
"1007",2065,"Replication",53,"Health",1
"1008",2066,"Replication",20,"Health",0.785714285714286
"1009",2067,"Replication",40,"Health",1
"1010",2068,"Replication",20,"Health",0.880952380952381
"1011",2069,"Replication",64,"Health",0.928571428571429
"1012",2070,"Replication",42,"Health",0.0714285714285714
"1013",2071,"Replication",56,"Health",1
"1014",2072,"Replication",33,"Health",0.0238095238095238
"1015",2073,"Replication",60,"Health",0.0714285714285714
"1016",2074,"Replication",64,"Health",0.928571428571429
"1017",2075,"Replication",28,"Health",1
"1018",2076,"Replication",70,"Health",0.261904761904762
"1019",2077,"Replication",40,"Health",0.30952380952381
"1020",2078,"Replication",27,"Health",0.547619047619048
"1021",2079,"Replication",23,"Health",0.69047619047619
"1022",2080,"Replication",46,"Health",1
"1023",2081,"Replication",81,"Health",1
"1024",2082,"Replication",78,"Health",0.880952380952381
"1025",2083,"Replication",53,"Health",0.952380952380952
"1026",2084,"Replication",22,"Health",1
"1027",2085,"Replication",64,"Health",0.666666666666667
"1028",2086,"Replication",45,"Health",0
"1029",2087,"Replication",26,"Health",0
"1030",2088,"Replication",60,"Health",0.0714285714285714
"1031",2089,"Replication",72,"Health",0.80952380952381
"1032",2090,"Replication",67,"Health",0.0714285714285714
"1033",2091,"Replication",37,"Health",0.857142857142857
"1034",2092,"Replication",74,"Health",0.404761904761905
"1035",2093,"Replication",71,"Health",0.880952380952381
"1036",2094,"Replication",34,"Health",1
"1037",2095,"Replication",54,"Health",1
"1038",2096,"Replication",45,"Health",0.928571428571429
"1039",2097,"Replication",45,"Health",0.952380952380952
"1040",2098,"Replication",71,"Health",0.761904761904762
"1041",2099,"Replication",48,"Health",0.119047619047619
