"","ID","sample","Age","domain","propImmediate"
"487",1021,"Matching",39,"Social",0.928571428571429
"489",1023,"Matching",44,"Social",1
"494",1028,"Matching",40,"Social",0.714285714285714
"496",1030,"Matching",37,"Social",0.928571428571429
"502",1036,"Matching",40,"Social",0.476190476190476
"503",1037,"Matching",23,"Social",0.19047619047619
"506",1040,"Matching",19,"Social",0
"512",1046,"Matching",36,"Social",0.761904761904762
"513",1047,"Matching",21,"Social",0.952380952380952
"515",1049,"Matching",77,"Social",0.30952380952381
"517",1051,"Matching",27,"Social",1
"519",1053,"Matching",73,"Social",1
"531",1065,"Matching",25,"Social",0
"536",1070,"Matching",69,"Social",1
"537",1071,"Matching",49,"Social",0.976190476190476
"539",1073,"Matching",45,"Social",0.857142857142857
"541",1075,"Matching",53,"Social",0.976190476190476
"542",1076,"Matching",66,"Social",0.976190476190476
"543",1077,"Matching",56,"Social",0.785714285714286
"544",1078,"Matching",48,"Social",1
"545",1079,"Matching",69,"Social",0.976190476190476
"546",1080,"Matching",64,"Social",1
"548",1082,"Matching",56,"Social",1
"550",1084,"Matching",73,"Social",0.976190476190476
"554",1088,"Matching",59,"Social",0.404761904761905
"561",1095,"Matching",31,"Social",0.976190476190476
"569",1103,"Matching",27,"Social",0.952380952380952
"573",1107,"Matching",66,"Social",1
"577",1111,"Matching",24,"Social",0.5
"581",1115,"Matching",46,"Social",0.0476190476190476
"583",1117,"Matching",86,"Social",1
"585",1119,"Matching",84,"Social",0.952380952380952
"613",1147,"Matching",53,"Social",0.30952380952381
"619",1153,"Matching",67,"Social",1
"627",1161,"Matching",26,"Social",0.428571428571429
"692",1226,"Matching",40,"Social",0.333333333333333
"700",2001,"Matching",68,"Money",0.952380952380952
"702",2003,"Matching",33,"Money",0.952380952380952
"708",2009,"Matching",40,"Money",0.80952380952381
"713",2014,"Matching",35,"Money",0.857142857142857
"717",2018,"Matching",41,"Money",0.928571428571429
"719",2020,"Matching",45,"Money",0.166666666666667
"720",2021,"Matching",34,"Money",0.714285714285714
"735",2036,"Matching",70,"Money",0.714285714285714
"739",2040,"Matching",52,"Money",0.738095238095238
"750",2051,"Matching",72,"Money",0.738095238095238
"751",2052,"Matching",66,"Money",0
"756",2057,"Matching",38,"Money",0.976190476190476
"761",2062,"Matching",80,"Money",1
"764",2065,"Matching",53,"Money",0.976190476190476
"782",2083,"Matching",53,"Money",0.833333333333333
"784",2085,"Matching",64,"Money",0.30952380952381
"785",2086,"Matching",45,"Money",1
"788",2089,"Matching",72,"Money",0.642857142857143
"789",2090,"Matching",67,"Money",0.238095238095238
"791",2092,"Matching",74,"Money",0.285714285714286
"794",2095,"Matching",54,"Money",0
"797",2098,"Matching",71,"Money",0.952380952380952
"798",2099,"Matching",48,"Money",0.357142857142857
"799",2100,"Matching",73,"Money",0.976190476190476
"801",2102,"Matching",40,"Money",1
"802",2103,"Matching",55,"Money",0.547619047619048
"803",2104,"Matching",26,"Money",0.833333333333333
"804",2105,"Matching",28,"Money",0.69047619047619
"805",2106,"Matching",70,"Money",0.857142857142857
"806",2107,"Matching",37,"Money",0.69047619047619
"807",2108,"Matching",58,"Money",0.476190476190476
"809",2110,"Matching",61,"Money",1
"810",2111,"Matching",80,"Money",0.928571428571429
"811",2112,"Matching",35,"Money",0.952380952380952
"815",2116,"Matching",29,"Money",1
"817",2118,"Matching",60,"Money",0.880952380952381
"818",2119,"Matching",52,"Money",0.5
"819",2120,"Matching",50,"Money",0.952380952380952
"821",2122,"Matching",84,"Money",0
"858",2159,"Matching",31,"Money",0
"914",2215,"Matching",80,"Money",0.738095238095238
"916",2217,"Matching",81,"Money",1
"943",2001,"Matching",68,"Health",0.976190476190476
"945",2003,"Matching",33,"Health",0.523809523809524
"951",2009,"Matching",40,"Health",0.714285714285714
"956",2014,"Matching",35,"Health",0.976190476190476
"960",2018,"Matching",41,"Health",0.904761904761905
"962",2020,"Matching",45,"Health",0.0476190476190476
"963",2021,"Matching",34,"Health",0.69047619047619
"978",2036,"Matching",70,"Health",0.928571428571429
"982",2040,"Matching",52,"Health",0.69047619047619
"993",2051,"Matching",72,"Health",0.571428571428571
"994",2052,"Matching",66,"Health",0.0476190476190476
"999",2057,"Matching",38,"Health",0.952380952380952
"1004",2062,"Matching",80,"Health",1
"1007",2065,"Matching",53,"Health",1
"1025",2083,"Matching",53,"Health",0.952380952380952
"1027",2085,"Matching",64,"Health",0.666666666666667
"1028",2086,"Matching",45,"Health",0
"1031",2089,"Matching",72,"Health",0.80952380952381
"1032",2090,"Matching",67,"Health",0.0714285714285714
"1034",2092,"Matching",74,"Health",0.404761904761905
"1037",2095,"Matching",54,"Health",1
"1040",2098,"Matching",71,"Health",0.761904761904762
"1041",2099,"Matching",48,"Health",0.119047619047619
"1042",2100,"Matching",73,"Health",0.976190476190476
"1044",2102,"Matching",40,"Health",1
"1045",2103,"Matching",55,"Health",0.952380952380952
"1046",2104,"Matching",26,"Health",0.785714285714286
"1047",2105,"Matching",28,"Health",0.738095238095238
"1048",2106,"Matching",70,"Health",1
"1049",2107,"Matching",37,"Health",0.595238095238095
"1050",2108,"Matching",58,"Health",1
"1052",2110,"Matching",61,"Health",1
"1053",2111,"Matching",80,"Health",1
"1054",2112,"Matching",35,"Health",0.80952380952381
"1058",2116,"Matching",29,"Health",0.976190476190476
"1060",2118,"Matching",60,"Health",0.80952380952381
"1061",2119,"Matching",52,"Health",0.523809523809524
"1062",2120,"Matching",50,"Health",0.976190476190476
"1064",2122,"Matching",84,"Health",0
"1101",2159,"Matching",31,"Health",1
"1157",2215,"Matching",80,"Health",0.214285714285714
"1159",2217,"Matching",81,"Health",1
"1186",2001,"Matching",68,"Social",1
"1188",2003,"Matching",33,"Social",0.714285714285714
"1194",2009,"Matching",40,"Social",1
"1199",2014,"Matching",35,"Social",0.642857142857143
"1203",2018,"Matching",41,"Social",1
"1205",2020,"Matching",45,"Social",0.238095238095238
"1206",2021,"Matching",34,"Social",0.357142857142857
"1221",2036,"Matching",70,"Social",0.738095238095238
"1225",2040,"Matching",52,"Social",0.928571428571429
"1236",2051,"Matching",72,"Social",0.833333333333333
"1237",2052,"Matching",66,"Social",0
"1242",2057,"Matching",38,"Social",0.976190476190476
"1247",2062,"Matching",80,"Social",1
"1250",2065,"Matching",53,"Social",1
"1268",2083,"Matching",53,"Social",0.904761904761905
